omega &   Ids                  &     peri              &   apo                     &   eccentricity           &    Zmax                    &   Lzmax             & Lzmin \\ 
  35  &   2M17535944$+$4708092 &  2.03$^{3.08}_{1.38}$ &  16.97$^{19.31}_{15.39}$  &  0.78$^{ 0.83}_{ 0.72}$  &   9.55$^{  9.99}_{  9.17}$ & $  -85.0 ^{   -50.0  }_{  -125.0 }$ & $  -102.0 ^{  -74.0  }_{  -134.0  }$ \\ 
  40  &   2M17535944$+$4708092 &  2.20$^{2.98}_{1.41}$ &  17.31$^{19.67}_{15.67}$  &  0.77$^{ 0.83}_{ 0.73}$  &   9.64$^{  9.97}_{  9.32}$ & $  -93.0 ^{   -57.0  }_{  -121.0 }$ & $  -107.0 ^{  -80.0  }_{  -134.0  }$ \\ 
  45  &   2M17535944$+$4708092 &  2.21$^{3.03}_{1.60}$ &  17.62$^{20.46}_{15.71}$  &  0.77$^{ 0.81}_{ 0.74}$  &   9.77$^{ 10.07}_{  9.47}$ & $  -92.0 ^{   -64.84 }_{  -124.0 }$ & $  -101.0 ^{  -78.0  }_{  -142.0  }$ \\ 
  50  &   2M17535944$+$4708092 &  2.17$^{3.14}_{1.63}$ &  18.53$^{19.39}_{15.51}$  &  0.78$^{ 0.80}_{ 0.72}$  &   9.96$^{ 10.30}_{  9.59}$ & $  -91.0 ^{   -65.0  }_{  -128.0 }$ & $  -110.0 ^{  -75.0  }_{  -136.0  }$ \\ 
  35  &   2M17180311$-$2750124 &  1.63$^{2.62}_{1.15}$ &   5.68$^{ 6.37}_{ 5.43}$  &  0.54$^{ 0.65}_{ 0.42}$  &   0.55$^{  0.67}_{  0.36}$ & $  -53.0 ^{   -39.0  }_{  -83.0  }$ & $  -95.0  ^{  -90.0  }_{  -103.0  }$ \\ 
  40  &   2M17180311$-$2750124 &  1.96$^{2.56}_{1.08}$ &   5.76$^{ 6.45}_{ 5.17}$  &  0.49$^{ 0.63}_{ 0.43}$  &   0.54$^{  0.71}_{  0.41}$ & $  -63.0 ^{   -35.0  }_{  -81.0  }$ & $  -91.0  ^{  -80.0  }_{  -107.0  }$ \\ 
  45  &   2M17180311$-$2750124 &  2.00$^{2.41}_{1.48}$ &   5.95$^{ 7.92}_{ 5.38}$  &  0.51$^{ 0.56}_{ 0.49}$  &   0.52$^{  0.65}_{  0.41}$ & $  -62.0 ^{   -48.0  }_{  -76.0  }$ & $  -96.0  ^{  -83.0  }_{  -129.0  }$ \\ 
  50  &   2M17180311$-$2750124 &  1.88$^{2.08}_{1.55}$ &   7.13$^{ 7.53}_{ 5.43}$  &  0.56$^{ 0.62}_{ 0.54}$  &   0.54$^{  0.59}_{  0.40}$ & $  -59.0 ^{   -47.84 }_{  -65.0  }$ & $  -111.0 ^{  -85.0  }_{  -118.0  }$ \\ 
  35  &   2M02491285$+$5534213 &  1.43$^{1.81}_{1.20}$ &   9.37$^{ 9.45}_{ 9.29}$  &  0.73$^{ 0.77}_{ 0.67}$  &   7.66$^{  7.81}_{  7.50}$ & $   60.5 ^{    66.0  }_{   55.0  }$ & $   48.0  ^{   58.0  }_{   40.0   }$ \\  
  40  &   2M02491285$+$5534213 &  1.34$^{1.70}_{1.16}$ &   9.51$^{ 9.78}_{ 9.38}$  &  0.75$^{ 0.78}_{ 0.69}$  &   8.65$^{  9.00}_{  8.31}$ & $   58.0 ^{    61.0  }_{   50.0  }$ & $   43.0  ^{   54.0  }_{   37.0   }$ \\  
  45  &   2M02491285$+$5534213 &  1.53$^{1.81}_{1.28}$ &   9.32$^{ 9.39}_{ 9.26}$  &  0.71$^{ 0.75}_{ 0.67}$  &   7.94$^{  8.08}_{  7.79}$ & $   57.0 ^{    63.0  }_{   51.0  }$ & $   50.0  ^{   58.0  }_{   42.0   }$ \\  
  50  &   2M02491285$+$5534213 &  1.48$^{1.71}_{1.19}$ &   9.41$^{ 9.51}_{ 9.30}$  &  0.72$^{ 0.77}_{ 0.69}$  &   8.40$^{  8.69}_{  8.14}$ & $   54.0 ^{    62.0  }_{   47.0  }$ & $   48.0  ^{   55.0  }_{   38.84  }$ \\  
  35  &   2M15113526$+$3551140 &  1.15$^{1.29}_{0.98}$ &  21.70$^{24.37}_{17.91}$  &  0.89$^{ 0.91}_{ 0.88}$  &  19.68$^{ 22.65}_{ 16.76}$ & $   53.0 ^{    57.0  }_{   50.0  }$ & $   46.0  ^{   50.0  }_{   39.0   }$ \\  
  40  &   2M15113526$+$3551140 &  1.15$^{1.32}_{1.02}$ &  22.08$^{24.33}_{17.64}$  &  0.89$^{ 0.90}_{ 0.88}$  &  19.46$^{ 21.85}_{ 16.89}$ & $   54.0 ^{    59.0  }_{   50.0  }$ & $   46.0  ^{   51.0  }_{   40.0   }$ \\  
